파프리카오이샐러드,새콤 아삭 파프리카 오이 샐러드,"['', '후추', '식초', '맛살', '올리브유', '파프리카', '오이', '양파']","['Onion', 'Cucumber', 'Crab', 'Pepper', 'Other fish', 'Other fruiting vegetables']"
치커리토마토샐러드,다이어트 샐러드 치커리 토마토 샐러드 만드는 법 가볍고 상큼하게 한 접시 어떠세요.,"['', '치커리', '꿀', '간장', '올리브유', '토마토', '파프리카', '양파', '소금']","['Onion', 'Honey', 'Beans', 'Tomato', 'Other fruiting vegetables', 'Other herbage crop']"
적채양배추샐러드,적채요리! 마요네즈드레싱을 활용한 적채 양배추 샐러드 만들기,"['', '마요네즈', '적채 양배추']","['Eggs', 'Other herbage crop']"
커피요거트스무디,뷰코 코코넛 커피 요거트 스무디,"['', '오트밀', '코코넛', '요거트', '바나나']","['Banana', 'Other fruits', 'Other grains']"
어니언에그샌드위치,어니언 에그 샌드위치,"['', '빵', '계란', '마요네즈', '토마토', '양파']","['Onion', 'Butter', 'Tomato', 'Wheat', 'Eggs']"
닭가슴살샐러드피자,닭가슴살 샐러드 피자,"['치즈', '밀', '닭고기', '채소', '요거트']","['Chicken', 'Other fruiting vegetables', 'Wheat', 'Green onion', 'Cheese', 'Other herbage crop']"
그릭요거트바나나오픈샌드위치,그릭요거트 바나나 오픈 샌드위치 간단한 간식 만들기,"['', '빵', '요거트', '바나나']","['Eggs', 'Banana', 'Wheat', 'Butter']"
파스타과일샐러드,요구르트 드레싱을 곁들인 파스타 과일샐러드,"['', '치커리', '설탕', '치즈', '토마토', '마요네즈', '바나나', '파스타면', '요거트', '아몬드', '배', '소금']","['Other fruits', 'Tomato', 'Wheat', 'Eggs', 'Cheese', 'Banana', 'Other herbage crop']"
문어연어샐러드,신선하고 맛있는 문어 연어샐러드 ,"['', '치커리', '문어', '오이', '양상추', '파프리카']","['Other mollusks', 'Other fruiting vegetables', 'Cucumber', 'Other herbage crop']"
산딸기잼,산딸기쨈 산딸기잼 만들기,"['산딸기', '', '설탕', '식초']",[]
단호박고구마샐러드,단호박고구마 샐러드,"['', '설탕', '계란', '당근', '단호박', '마요네즈', '소금', '사과']","['Eggs', 'Other root vegetables']"
사탕수수레몬청,[마리홈카페] 환절기에 딱!!사탕수수 레몬청,"['사탕수수', '레몬']",['Other fruits']
삼치유자청조림,삼치유자청구이 향긋한 유자향이 솔솔~,"['', '고추', '후추', '밀', '간장', '삼치', '소금']","['Beans', 'Pepper', 'Chilly', 'Other fish', 'Wheat']"
생연어샐러드,생연어 샐러드 초간단요리 ,"['', '간장', '연어', '양파', '브로콜리', '배']","['Other fruits', 'Onion', 'Beans', 'Other fish', 'Other herbage crop']"
토마토바질에이드,토마토바질에이드 만들기 바질토마토청 만드는 법,"['', '토마토', '식초']",['Tomato']
계피사과잼,계피사과잼~쭈끌한사과 버리지마세요~~,"['설탕', '', '소금', '사과']",[]
유자청크레이프,유자청으로 만드는 새콤달콤한 유자청소스 / 유자소스♬,"['', '양파', '식초']",['Onion']
청국장김치찌개,청국장김치찌개:신김치와 청국장의 이유있는 연대,"['청국장', '김치', '무', '쌀', '마늘', '파', '두부', '소금']","['Beans', 'Other herbage crop', 'Chilly', 'Rice', 'Wheat', 'Garlic', 'Radish']"
오이토마토샐러드,오이 토마토 샐러드.(다이어트에도 좋은!!),"['설탕', '후추', '식초', '꿀', '올리브유', '토마토', '오이', '간장']","['Beans', 'Honey', 'Cucumber', 'Tomato', 'Pepper']"
초코바나나아이스크림,초코바나나 아이스크림,"['', '우유', '바나나']",['Banana']
마늘사과잼,마늘사과잼,"['설탕', '', '마늘', '소금', '사과']",['Garlic']
오리엔탈두부샐러드,오리엔탈 두부샐러드,"['', '레몬', '채소', '토마토', '두부', '소금']","['Other fruits', 'Tomato', 'Green onion', 'Other fruiting vegetables', 'Other herbage crop']"
양배추팬케이크오픈샌드위치,다이어트 요리 ~ 양배추 팬케이크 오픈 샌드위치 만드는법,"['빵', '계란', '치즈', '당근', '양배추', '오일', '마요네즈', '소금']","['Butter', 'Wheat', 'Other root vegetables', 'Eggs', 'Cheese', 'Other herbage crop']"
피스타치오오이샐러드,불 사용없이 만드는 더위 피하는 여름요리/피스타치오 오이샐러드,"['', '설탕', '식초', '꿀', '올리브유', '토마토', '오이', '소금']","['Honey', 'Cucumber', 'Tomato']"
오디아이스크림,건강디저트 오디아이스크림,"['', '생크림', '요거트', '오디', '연유']","['Other dairy products', 'Milk']"
새우오이샐러드,새우샐러드 담백 상큼한 냉동새우요리 새우오이샐러드,"['새우', '', '설탕', '올리브유', '파프리카', '오이', '양파', '소금']","['Other fruiting vegetables', 'Shrimp', 'Cucumber', 'Onion']"
구기자귤청,구기자귤청/피로회복.피부미용.샐러드소스활용에 좋아요.,"['설탕', '', '레몬', '꿀', '귤']","['Honey', 'Other fruits']"
딸기잼컵케익,딸기잼 컵케익,"['밀', '', '두유']","['Soy milk', 'Wheat']"
사과생강차,사과생강차 만들기,"['설탕', '꿀', '생강', '사과']","['Honey', 'Ginger']"
배대추차,"감기에 좋은 배대추차 끓이기, 배대추차 만드는법","['', '꿀', '대추', '배']","['Honey', 'Other fruits']"
사과자몽청,사과자몽청~어머 이조합 맛나네유~,"['설탕', '사과', '자몽']",['Other fruits']
오렌지닭가슴살샐러드,담백한 리코타 오렌지 닭가슴살 샐러드,"['', '우유', '레몬', '파프리카', '오렌지 닭고기', '소금']","['Other fruiting vegetables', 'Other fruits', 'Chicken']"
대패삼겹살청경채볶음,대패삼겹살 청경채볶음,"['마늘', '청경채', '굴소스', '돼지고기']","['Other seasonings', 'Pork', 'Garlic', 'Oyster', 'Other herbage crop']"
차돌박이숙주볶음볶음밥,♥[신혼밥상] 차돌박이 숙주볶음,"['', '깨', '굴소스', '소고기', '마늘', '파', '양파']","['Onion', 'Garlic', 'Other seasonings', 'Oyster', 'Beef']"
어묵청경채볶음,간단반찬 어묵청경채볶음,"['어묵', '', '청경채', '참기름', '양파', '마늘', '간장']","['Onion', 'Beans', 'Other grains', 'Other fish', 'Garlic', 'Other seafood', 'Other herbage crop']"
생강청멸치볶음,생강청멸치볶음:둘이 이렇게 잘 어울릴 줄이야!?!(feat.면역력up),"['', '멸치']",['Other fish']
송편탕후루,"송편 탕후루, 추석 명절 남은 송편으로 탕후루 만들기","['', '토마토', '포도', '송편']","['Other fruits', 'Tomato']"
크래미양배추콘샐러드,유아식 크래미요리 크래미 양배추 콘 샐러드,"['', '맛살', '양배추', '마요네즈', '오이']","['Cucumber', 'Crab', 'Other fish', 'Eggs', 'Other herbage crop']"
양상추닭가슴살샐러드,[자취요리] 양상추 닭가슴살 샐러드(다이어트),"['', '후추', '닭', '올리브유', '양상추', '양파']","['Other herbage crop', 'Onion', 'Chicken', 'Pepper']"
당근사과주스,당근사과주스,"['', '꿀', '사과', '당근']","['Honey', 'Other root vegetables']"
오레오핫케이크,오레오핫케이크,"['', '초콜릿', '빵', '계란', '기름']","['Eggs', 'Wheat', 'Butter']"
딸기오픈샌드위치,오픈 샌드위치,"['버터', '', '치즈', '토마토', '통밀빵', '체리', '양파']","['Other fruits', 'Onion', 'Butter', 'Tomato', 'Wheat', 'Eggs', 'Cheese']"
케일사과주스,건강주스 케일사과주스,"['', '파인애플', '바나나', '케일', '사과']","['Banana', 'Other fruits', 'Other herbage crop']"
코코넛시나몬요거트스무디,어린이날 간식에 색다른 음료 어때요? 코코넛 시나몬 요거트스무디 ♥,"['', '요거트']",[]
유자청연어샐러드,♡유자청 연어 샐러드♡~남편과딸을 위한 요리 ,"['', '오리고기', '레몬', '꿀', '파프리카', '양상추', '양파', '소금']","['Other fruits', 'Onion', 'Honey', 'Other fruiting vegetables', 'Duck', 'Other herbage crop']"
연어샐러드오니기리,<연어샐러드 오니기리> 연어통조림캔으로 만든 일본식 주먹밥,"['깨', '', '참기름', '계란', '당근', '식초', '맛살', '후추', '마요네즈', '오이', '김', '양파', '쌀', '소금']","['Onion', 'Cucumber', 'Other grains', 'Crab', 'Pepper', 'Other fish', 'Other root vegetables', 'Eggs', 'Rice']"
베이컨베이글샌드위치,"베이컨 베이글 샌드위치, 브런치 메뉴도 간단한 한 끼도 되는 맛있는 샌드위치 만들기","['', '양파 빵', '치즈', '피클', '토마토', '양상추', '햄']","['Onion', 'Cucumber', 'Butter', 'Tomato', 'Wheat', 'Pork', 'Eggs', 'Cheese', 'Other herbage crop']"
젤리탕후루,윤기가 좌르르르 젤리탕후루,"['설탕', '', '젤리']",[]
웰치포도바나나스무디,웰치 포도 바나나스무디,"['요거트', '포토', '바나나']","['Banana', 'Other fruits']"
샤인머스켓탕후루,전자레인지로 샤인머스켓 탕후루 만들기,"['설탕', '', '포도']",['Other fruits']
과일스무디,시원한 과일스무디,"['우유', '블루베리', '요거트', '바나나']","['Banana', 'Other fruits']"
무청시래기감자탕,5.000원에 행복! 다발무 담그고 무청시래기감자탕 ,"['', '깨', '고추', '감자', '된장', '쌀', '마늘', '돼지고기', '파', '무']","['Beans', 'Chilly', 'Wheat', 'Pork', 'Garlic', 'Radish', 'Potato', 'Rice']"
블루베리오픈샌드위치,블루베리오픈샌드위치:블루베리를 사랑하게 되었네 ♥,"['버터', '', '빵', '요거트']","['Eggs', 'Wheat', 'Butter']"
산딸기요거트아이스크림,산딸기 요거트 아이스크림,"['', '설탕', '요거트']",[]
바나나아보카도주스,든든하게 먹기 좋은 바나나아보카도 주스 만들기,"['꿀', '바나나', '아보카도', '우유']","['Honey', 'Banana', 'Other fruiting vegetables']"
인삼대추차,인삼 수삼 손질방법 보관방법 먹는방법인삼차 인삼우유 인삼 대추차 끓이는 법,"['', '우유', '꿀', '수삼', '대추']",['Honey']
치즈단호박샐러드,치즈 단호박 샐러드 ,"['', '식초', '치즈', '단호박']",['Cheese']
고구마두부치즈케이크,고구마두부치즈케이크,"['설탕', '', '버터', '우유', '계란', '치즈', '꿀', '고구마', '두부']","['Honey', 'Butter', 'Eggs', 'Cheese', 'Sweet potato']"
크림치즈콥샐러드,콥딥. 알록달록 먹기전부터 기분이 좋아지는 크림치즈콥샐러드 맥주안주. 와인안주.,"['', '옥수수', '치즈', '피망', '꿀', '파프리카']","['Honey', 'Cheese', 'Corn', 'Other fruiting vegetables']"
홍삼딸기스무디,홍삼딸기스무디,"['', '우유', '딸기', '생크림']","['Other dairy products', 'Other fruits']"
고구마샐러드빵,고구마가 왔어요~~!! 고구마샐러드빵,"['', '설탕', '옥수수', '빵', '치즈', '겨자', '고구마', '마요네즈', '햄']","['Corn', 'Butter', 'Wheat', 'Pork', 'Eggs', 'Cheese', 'Sweet potato']"
고구마복숭아잼호떡,고구마 복숭아잼 호떡,"['설탕', '', '빵', '고구마', '복숭아']","['Peach', 'Butter', 'Wheat', 'Eggs', 'Sweet potato']"
두부청국장덮밥,소박한 두부청국장 덮밥,"['어묵', '깨', '버터', '고추', '', '참기름', '청국장', '쌀', '멸치 다시마', '마늘', '김', '파', '양파', '두부']","['Onion', 'Beans', 'Butter', 'Other grains', 'Chilly', 'Other fish', 'Wheat', 'Garlic', 'Other seafood', 'Rice']"
사과대추차,그윽한향기 달콤한맛..사과대추차/자투리재료로 만든 향좋고 맛좋은차/사과대추차/차/음료/자투리과일 버리지마세요,"['대추', '사과']",[]
치킨샐러드샌드위치,유산지없이 만드는 치킨샐러드 샌드위치 ,"['', '빵', '치즈', '토마토', '파프리카', '치킨', '햄']","['Chicken', 'Other fruiting vegetables', 'Butter', 'Tomato', 'Wheat', 'Pork', 'Eggs', 'Cheese']"
닭똥집청경채볶음,닭똥집 청경채 볶음,"['설탕', '', '청경채', '고추', '후추', '감자', '간장', '닭고기', '굴소스', '마늘', '양파', '버섯']","['Onion', 'Garlic', 'Chicken', 'Beans', 'Other seasonings', 'Pepper', 'Chilly', 'Oyster', 'Potato', 'Other herbage crop']"
오렌지젤리,자몽 젤리와 오렌지 젤리 만들기,"['', '자몽젤리']",['Other fruits']
포도잼미니머핀,포도잼 미니 머핀,"['버터', '설탕', '', '우유', '계란', '밀']","['Eggs', 'Wheat', 'Butter']"
닭안심청경채볶음,닭안심청경채볶음 혼술안주로 굿!!,"['', '청경채', '참기름', '닭고기', '간장']","['Beans', 'Other grains', 'Chicken', 'Other herbage crop']"
샐러리해독주스,슬림 쥬서기로 ABC쥬스 샐러리 해독주스 만들기,"['', '당근', '비트', '사과']",['Other root vegetables']
청포도잼,청포도잼~청포도세척법,"['청포도', '설탕', '']",['Other fruits']
아로니아오이주스,아로니아생과주스,"['꿀', '아로니아', '요거트']","['Honey', 'Other fruits']"
황기토마토주스,"황기 토마토 주스~면역력떨어지고
기운없고 땀이나고 지칠때 드시면 좋아요~♡♡","['', '황기', '토마토', '마늘', '소금']","['Garlic', 'Other root vegetables', 'Tomato']"
말차핫케이크,말차 롤케이크,"['설탕', '', '계란', '생크림', '밀']","['Eggs', 'Other dairy products', 'Wheat']"
양상추연어샐러드,양상추연어샐러드,"['', '오리고기', '식초', '맛살', '마요네즈', '양상추', '요거트', '양파', '소금']","['Onion', 'Crab', 'Other fish', 'Eggs', 'Duck', 'Other herbage crop']"
사과양배추샐러드,사과양배추샐러드,"['', '후추', '양배추', '올리브유', '오이', '요거트', '소금', '사과']","['Cucumber', 'Other herbage crop', 'Pepper']"
생강도라지대추차,목감기 기침에 좋은 차 생강 도라지 대추차 만드는법,"['', '꿀', '대추', '생강']","['Honey', 'Ginger']"
차돌박이청경채볶음,차돌박이청경채볶음 (비타민이 풍부한 청경채와 단백질이 풍부한 차돌박이요리),"['', '청경채', '고추', '참기름', '굴소스', '소고기', '식용유', '파', '간장']","['Beans', 'Other seasonings', 'Other grains', 'Chilly', 'Oyster', 'Beef', 'Other herbage crop']"
과일탕후루,과일 탕후루 만들기!,"['설탕', '', '파인애플', '딸기', '귤']",['Other fruits']
버섯청국장찌개,고향의 맛~ 구수한 버섯청국장찌개,"['', '청국장', '김치', '된장', '쌀', '마늘', '멸치', '파', '두부']","['Beans', 'Other herbage crop', 'Chilly', 'Other fish', 'Wheat', 'Garlic', 'Rice']"
카카오닙스과일샐러드, 카카오닙스 과일 샐러드 초간단,"['', '포도', '토마토', '카카오', '바나나', '요거트', '호두']","['Banana', 'Other fruits', 'Tomato', 'Walnut']"
양배추사과당근주스,양배추로 주스 만들기 : 양배추 사과 당근 주스 ( Cabbage apple carrot Juice ),"['', '양배추', '사과', '당근']","['Other root vegetables', 'Other herbage crop']"
양배추닭가슴살샐러드,양배추닭가슴살 샐러드 포만감 GOOD!! 양배추활용 요리,"['', '후추', '닭', '양배추', '마요네즈', '소금']","['Eggs', 'Other herbage crop', 'Chicken', 'Pepper']"
소고기무청시래기된장지짐,소고기무청시래기된장지짐!,"['', '고추', '소고기', '마늘', '무']","['Chilly', 'Garlic', 'Beef', 'Radish']"
견과류딸기탕후루,견과류 딸기 탕후루,"['', '딸기']",['Other fruits']
미니양배추토마토샐러드,미니양배추 토마토샐러드,"['', '토마토', '양배추']","['Tomato', 'Other herbage crop']"
유자청무생채,유자청 무생채 (추천메뉴),"['', '식초', '마늘', '파', '무']","['Garlic', 'Radish']"
