우엉치즈김밥,우엉치즈김밥과 계란말이 치즈김밥,"['', '우엉', '계란', '김', '쌀']","['Eggs', 'Other root vegetables', 'Rice']"
단호박고구마과일샐러드,단호박 고구마 과일샐러드 ,"['', '설탕', '식초', '단호박', '파프리카', '양상추', '요거트', '소금', '귤']","['Other fruiting vegetables', 'Other herbage crop']"
오미자유자에이드,오미자 유자 에이드,"['', '오미자']",[]
누룽지시래기갈비탕,#시래기나물을 이용한 #시래기청국장찌개만들기 #구수한 시래기나물을 넣고 초간단으로 끓여낸 시래기청국장찌개!!! ,"['', '호박', '시래기', '청국장', '천연조미료', '된장', '마늘', '양파', '두부']","['Onion', 'Beans', 'Wheat', 'Garlic', 'Other fruiting vegetables', 'Other herbage crop']"
꿀호떡계란샌드위치,꿀호떡계란샌드위치 호떡과 달걀후라이의 만남 케찹 마요네즈 머스타드만 뿌려도 맛있어요,"['', '계란', '꿀호떡', '토마토', '마요네즈', '식용유']","['Eggs', 'Honey', 'Wheat', 'Tomato']"
닭가슴살카레우동,"카레, 카레우동.","['', '감자', '간장', '카레', '햄', '양파']","['Beans', 'Onion', 'Potato', 'Pork']"
생강차,생강차 만들기,"['', '생강']",['Ginger']
샐러드,우와한 샐러드,"['채소', '콩']","['Other fruiting vegetables', 'Beans', 'Green onion', 'Other herbage crop']"
커피바스크치즈케이크,커피 바스크 치즈 케이크,"['', '설탕', '계란', '치즈', '생크림', '소금']","['Eggs', 'Cheese', 'Other dairy products']"
청귤청,청귤청 만들기,"['설탕', '굴']",['Oyster']
김주먹밥,간단 김주먹밥,"['', '참기름', '쌀']","['Other grains', 'Rice']"
당근파운드케이크,Carrot Pound Cake 당근 파운드 케이크 만들기,"['', '버터', '계란', '당근', '밀']","['Eggs', 'Wheat', 'Butter', 'Other root vegetables']"
바스크치즈케이크,바스크 치즈케이크 만들기 2,"['', '설탕', '계란', '치즈', '생크림', '밀', '소금']","['Eggs', 'Cheese', 'Other dairy products', 'Wheat']"
양파베이컨오픈샌드위치,양파베이컨 오픈 샌드위치,"['', '빵', '식용유', '햄', '간장', '소금']","['Beans', 'Butter', 'Wheat', 'Pork', 'Eggs']"
모닝빵참치샌드위치,사과를 넣어 더 맛있는 모닝빵 참치샌드위치,"['', '참치', '빵', '후추', '마요네즈', '양파', '소금', '사과']","['Onion', 'Butter', 'Pepper', 'Other fish', 'Wheat', 'Eggs']"
그릭요거트과일샐러드,그릭요거트 과일 샐러드 아오리사과 다이어트 샐러드,"['', '식초', '올리브유', '토마토', '요거트', '아몬드', '소금']",['Tomato']
초코생크림케이크,초코생크림케이크,"['', '설탕', '버터', '계란', '밀']","['Eggs', 'Wheat', 'Butter']"
찹쌀호떡팬케이크,"꿀설탕 너무 달달해, 찹쌀호떡 팬케이크","['설탕', '버터', '호떡', '식용유', '바나나', '호두']","['Butter', 'Walnut', 'Wheat', 'Eggs', 'Banana']"
명란감자샐러드,그냥 먹어도 빵에 발라 먹어도 좋아요~ 명란 감자샐러드,"['', '고추', '후추', '감자', '마요네즈']","['Chilly', 'Eggs', 'Potato', 'Pepper']"
블루베리잼콩포트,블루베리 생과로 만든 블루베리잼 콩포트,"['설탕', '', '빵', '식초', '블루베리']","['Eggs', 'Other fruits', 'Wheat', 'Butter']"
돼지고기묵은지청국장찌개,(코로나극복)돼지고기묵은지청국장찌개:시원~한 청국장국물 맛좀 보고 가세요,"['', '고추', '부추', '청국장', '김치', '쌀', '돼지고기', '다시마', '양파', '두부']","['Chives', 'Onion', 'Beans', 'Chilly', 'Rice', 'Wheat', 'Pork', 'Other herbage crop']"
토마토귤잼,토마토귤잼 만들기,"['', '설탕', '토마토', '귤']",['Tomato']
감자마카로니샐러드,백종원 감자마카로니샐러드,"['설탕', '', '당근', '후추', '감자', '마요네즈', '오이', '파스타면', '소금']","['Cucumber', 'Pepper', 'Other root vegetables', 'Wheat', 'Eggs', 'Potato']"
샤인머스켓탕후루,전자레인지로 샤인머스켓 탕후루 만들기,"['설탕', '', '포도']",['Other fruits']
유자청연어샐러드,♡유자청 연어 샐러드♡~남편과딸을 위한 요리 ,"['', '오리고기', '레몬', '꿀', '파프리카', '양상추', '양파', '소금']","['Other fruits', 'Onion', 'Honey', 'Other fruiting vegetables', 'Duck', 'Other herbage crop']"
키위주스,키위주스 만들기~ ,"['', '키위']",['Kiwi']
냉토마토샐러드,일본식 냉 토마토 샐러드 ,"['', '토마토']",['Tomato']
바나나초코케이크,바나나 초코 케이크,"['', '버터', '설탕', '계란', '밀', '바나나', '아몬드', '소금']","['Eggs', 'Wheat', 'Banana', 'Butter']"
토마토주스,토마토 효능 토마토 요리 토마토쥬스 꽈추형 토마토쥬스 추천 토마토주스,"['', '토마토', '올리브유']",['Tomato']
훈제닭가슴살샐러드,훈제 닭가슴살샐러드,"['채소', '', '닭고기', '요거트']","['Other fruiting vegetables', 'Chicken', 'Green onion', 'Other herbage crop']"
멸치칼국수버섯전골,멸치칼국수 버섯 전골,"['', '멸치 칼국수', '고추', '미나리', '파', '배추', '양파', '버섯', '소금']","['Onion', 'Chilly', 'Other fish', 'Wheat', 'Eggs', 'Other herbage crop']"
미나리청포묵무침,[청포묵 무침] 청포묵 김무침 녹두로 만들어진 청포묵 무침,"['', '참기름', '오이', '청포묵', '소금']","['Cucumber', 'Other grains']"
키위에이드,달달한 키위에이드 아침식사로 꼴딱! 골드키위에이드,"['', '꿀', '키위']","['Honey', 'Kiwi']"
