name,food_name,ingredients
트러플간짜장밥,사과 간짜장 볶음밥,"['다진돼지고기', '사과', '양파', '표고버섯', '오이', '감자(중)', '달걀', '기름', '밥', '다진돼지고기', '사과', '양파', '표고버섯', '오이', '감자(중)', '표고버섯불린물', '기름', '후추', '소금', '자장소스가루', '후추']"
더덕떡갈비,더덕 떡갈비 만들기,"['다짐육', '더덕', '시금치', '잣', '빵가루', '간장', '설탕', '맛술', '다진마늘', '참기름', '통깨', '송송 썬 대파', '후추']"
자몽샐러드파스타,자몽 샐러드 파스타,"['자몽', '양파', '토마토', '베이컨', '올리브유', '파스타']"
새우베이컨달걀볶음밥,영양가득 유아식 새우 베이컨 달걀 볶음밥,"['냉동새우', '베이컨', '밥 한', '양파', '당근', '대파 반', '다진 마늘', '맛술', '진간장', '굴소스']"
아로니아방울토마토샐러드,아로니아 방울토마토 샐러드,"['방울토마토 콩카세', '블루베리', '로메인', '올리브오일', '발사믹식초', '꿀', '소금', '후춧가루', '라임즙', '아로니아가루']"
옥수수콘치즈파이,♥[신혼밥상] 옥수수콘 치즈파이,"['식빵', '버터', '체다치즈', '모짜렐라치즈', '칵테일새우', '마요네즈']"
묵은지참치김밥,묵은지참치김밥..,"['묵은김치', '캔참치', '깻잎', '계란', '양파', '청양고추', '두부', '소금', '마요네즈', '통깨', '카놀라유']"
옥수수체다치즈머핀,달콤하고 고소한 '옥수수체다치즈머핀',"['유기농 박력분', '옥수수가루', '베이킹파우더', '무염버터', '비정제원당', '소금', '우유', '옥수수캔', '체다치즈']"
차돌간장떡볶이,아기 한그릇 유아식 간식 차돌간장떡볶이 쉬운 레시피,"['떡볶이', '차돌박이', '파', '어묵', '간장', '굴소스', '설탕', '맛술']"
참치샐러드누드김밥,참치 샐러드 누드김밥~*,"['김', '참치캔', '당근', '양파 작은것', '피클', '오이', '마요네즈', '올리고당', '들기름', '소금']"
양배추참치김밥,양배추 참치김밥 도시락 ,"['양배추잎', '깻잎', '참치캔', '다진양파', '다진파', '고추장', '고춧가루', '간장', '매실액']"
고구마단팥빵,"고구마와 팥의 만남! ""고구마단팥빵"" 만들기","['강력분', '드라이이스트', '설탕', '소금', '우유', '계란', '삶은 고구마', '통조림팥', '계란물', '검은깨']"
김치오징어오트밀죽,다이어트 한끼로 포만감 가득 맛있는 김치오징어오트밀죽 ,"['오징어', '김치', '물', '오트밀', '참치액', '파']"
사과단호박죽,사과 단호박죽,"['단호박', '사과', '찹쌀가루', '물엿', '자른 곶감']"
불고기궁중떡볶이,건강한식 더비비고 초간단 불고기 궁중 떡볶이,"['떡볶이떡', '양파', '당근', '대파', '더비비고 버섯 불고기 덮밥소스', '물']"
